Date,Open,High,Low,Close,Volume
1-Aug-17,149.10,150.22,148.41,150.05,35368645
31-Jul-17,149.90,150.33,148.13,148.73,19845920
28-Jul-17,149.89,150.23,149.19,149.50,17213653
27-Jul-17,153.75,153.99,147.30,150.56,32476337
26-Jul-17,153.35,153.93,153.06,153.46,15780951
25-Jul-17,151.80,153.84,151.80,152.74,18853932
24-Jul-17,150.58,152.44,149.90,152.09,21493160
21-Jul-17,149.99,150.44,148.88,150.27,26252630
20-Jul-17,151.50,151.74,150.19,150.34,17243748
19-Jul-17,150.48,151.42,149.95,151.02,20922969
18-Jul-17,149.20,150.13,148.67,150.08,17868792
17-Jul-17,148.82,150.90,148.57,149.56,23793456
14-Jul-17,147.97,149.33,147.33,149.04,20132061
13-Jul-17,145.50,148.49,145.44,147.77,25199373
12-Jul-17,145.87,146.18,144.82,145.74,24884478
11-Jul-17,144.73,145.85,144.38,145.53,19781836
10-Jul-17,144.11,145.95,143.37,145.06,21090636
7-Jul-17,142.90,144.75,142.90,144.18,19201712
6-Jul-17,143.02,143.50,142.41,142.73,24128782
5-Jul-17,143.69,144.79,142.72,144.09,21569557
3-Jul-17,144.88,145.30,143.10,143.50,14277848
30-Jun-17,144.45,144.96,143.78,144.02,23024107
29-Jun-17,144.71,145.13,142.28,143.68,31499368
28-Jun-17,144.49,146.11,143.16,145.83,22082432
27-Jun-17,145.01,146.16,143.62,143.73,24761891
26-Jun-17,147.17,148.28,145.38,145.82,25692361
23-Jun-17,145.13,147.16,145.11,146.28,35439389
22-Jun-17,145.77,146.70,145.12,145.63,19106294
21-Jun-17,145.52,146.07,144.61,145.87,21265751
20-Jun-17,146.87,146.87,144.94,145.01,24900073
19-Jun-17,143.66,146.74,143.66,146.34,32541404
16-Jun-17,143.78,144.50,142.20,142.27,50361093
15-Jun-17,143.32,144.48,142.21,144.29,32165373
14-Jun-17,147.50,147.50,143.84,145.16,31531232
13-Jun-17,147.16,147.45,145.15,146.59,34165445
12-Jun-17,145.74,146.09,142.51,145.42,72307330
9-Jun-17,155.19,155.19,146.02,148.98,64882657
8-Jun-17,155.25,155.54,154.40,154.99,21250798
7-Jun-17,155.02,155.98,154.48,155.37,21069647
6-Jun-17,153.90,155.81,153.78,154.45,26624926
5-Jun-17,154.34,154.45,153.46,153.93,25331662
2-Jun-17,153.58,155.45,152.89,155.45,27770715
1-Jun-17,153.17,153.33,152.22,153.18,16404088
31-May-17,153.97,154.17,152.38,152.76,24451164
30-May-17,153.42,154.43,153.33,153.67,20126851
26-May-17,154.00,154.24,153.31,153.61,21927637
25-May-17,153.73,154.35,153.03,153.87,19235598
24-May-17,153.84,154.17,152.67,153.34,19219154
23-May-17,154.90,154.90,153.31,153.80,19918871
22-May-17,154.00,154.58,152.91,153.99,22966437
19-May-17,153.38,153.98,152.63,153.06,26960788
18-May-17,151.27,153.34,151.13,152.54,33568215
17-May-17,153.60,154.57,149.71,150.25,50767678
16-May-17,155.94,156.06,154.72,155.47,20048478
15-May-17,156.01,156.65,155.05,155.70,26009719
12-May-17,154.70,156.42,154.67,156.10,32527017
11-May-17,152.45,154.07,152.31,153.95,27255058
10-May-17,153.63,153.94,152.11,153.26,25805692
